HPO,UMLS
0001349,C1836003
0001350,C0234518
0001351,C3552825
0001355,C0221355
0001357,C0265529
0001360,C0079541
0001361,C4025788
0001362,C4025787
0001363,C0010278
0001367,C0022408
0001369,C0003864
0001370,C0003873
0001371,C0009917
0001373,C0012691
0001374,C0019555
0001376,C1857108
0001377,C1867103
0001379,NA
0001380,NA
0001382,C1844820
0001384,C4020870
0001385,C0019555
0001386,C0152031
0001387,C0162298
0001388,C0086437
0001392,C0023895
0001394,C0023890
0001395,C0239946
0001396,C0008370
0001397,C2711227
0001399,C0085605
0001400,NA
0001401,C1859235
0001402,C1862761
0001403,C1837256
0001404,C1855038
0001405,C1849766
0001406,C0008372
0001407,C0267834
0001408,C0267818
0001409,C0020541
0001410,C0086565
0001412,C1843995
0001413,C0267812
0001414,C1850415
0001417,C0241764
0001419,C1845977
0001421,C4025786
0001423,C1847879
0001425,C0242960
0001426,C0600599
0001427,C0887941
0001428,C0544886
0001430,C4021779
0001433,C0019214
0001435,C4021778
0001436,C4025785
0001437,C4025784
0001438,C4020869
0001440,C1862697
0001441,C4025783
0001442,C1866227
0001443,C4025782
0001444,C4025781
0001445,C4025780
0001446,C4025779
0001449,C4025778
0001450,C0814045
0001452,C4025777
0001454,C4025776
0001457,C4025775
0001459,C4025774
0001460,C4025773
0001464,C4025772
0001465,C4025771
0001466,C1855496
0001467,C4025770
0001468,C4025769
0001469,C4025768
0001470,C4025767
0001471,C4025766
0001472,NA
0001473,C1854614
0001474,C1849263
0001475,C4025764
0001476,C3840083
0001477,C1846911
0001480,C0016689
0001482,C0151811
0001483,C0233593
0001487,NA
0001488,C1865916
0001489,C0423361
0001491,C1302995
0001492,C0266548
0001493,C0344550
0001495,C1833734
0001498,C1863749
0001500,C1844906
0001501,C1861360
0001504,C1854610
0001507,C0262361
0001508,C0231246
0001510,C0151686
0001511,C0015934
0001513,C0028754
0001518,C0024032
0001519,C0003706
0001520,C1848395
0001522,C1844947
0001525,C1855514
0001528,C0332890
0001530,C1835580
0001531,C1867873
0001533,C1850573
0001537,C0019322
0001538,C1854928
0001539,C0795690
0001540,C0221766
0001541,C0003962
0001543,C0265706
0001544,C1837795
0001545,C1838705
0001547,C4025763
0001548,C1849265
0001549,C4025762
0001551,C1849338
0001552,C0264172
0001555,C1858033
0001557,C1849510
0001558,C0235659
0001560,C0266781
0001561,C0020224
0001562,C0079924
0001563,C1865279
0001566,C1835762
0001571,C1839965
0001572,C0266036
0001574,C4025761
0001575,C0085633
0001579,C1968852
0001580,C1968851
0001581,C1853193
0001582,C0581342
0001583,C0240595
0001586,C0042582
0001587,NA
0001591,C1865186
0001592,C1970308
0001593,C1845111
0001595,C0157733
0001596,C0002170
0001597,C0027339
0001598,C0221261
0001600,C4021777
0001601,C0264303
0001602,C0023075
0001604,C0751576
0001605,C0042928
0001606,NA
0001607,C0238441
0001608,C4021776
0001609,C0019825
0001611,C0454555
0001612,C0234860
0001613,NA
0001615,C2678303
0001618,C1527344
0001620,C0241703
0001621,C0241700
0001622,C0151526
0001623,C0006157
0001626,C0007222
0001627,C0018798
0001629,C0018818
0001631,C0018817
0001633,C4025759
0001634,C0026267
0001635,C0018801
0001636,C0039685
0001637,C4025758
0001638,C0878544
0001639,C0007194
0001640,C0018800
0001641,C3164374
0001642,C1956257
0001643,C0013274
0001644,C0007193
0001645,C0085298
0001646,C3164445
0001647,C0149630
0001648,C0034072
0001649,C0039231
0001650,C0003507
0001651,C0011813
0001653,C0026266
0001654,C0018824
0001655,C0016522
0001657,C0151878
0001658,C0027051
0001659,C0003504
0001660,C0041206
0001662,C0428977
0001663,C0042510
0001664,C0040479
0001667,C0162770
0001669,C3536741
0001670,C0205700
0001671,C0018816
0001673,NA
0001674,C1389018
0001675,NA
0001676,NA
0001677,C1956346
0001678,C0004245
0001679,C4025756
0001680,C0003492
0001681,C0002962
0001682,C0340375
0001683,C0013580
0001684,C0344724
0001685,C0151654
0001686,C0003564
0001688,C0085610
0001691,C3887554
0001692,C0085611
0001693,C0232180
0001694,C0428871
0001695,C0018790
0001696,C0037221
0001697,C4025754
0001698,C0031039
0001699,C0011071
0001700,C1442837
0001701,C0031046
0001702,C4025753
0001704,C0040962
0001705,C0035619
0001706,C0014117
0001707,C0344887
0001708,C0235527
0001709,C0151517
0001710,C1853238
0001711,C0344905
0001712,C0149721
0001713,C4025752
0001714,C0340279
0001716,C0043202
0001717,C1611184
0001718,C0026269
0001719,C0013069
0001722,C0742747
0001723,C0007196
0001724,NA
0001726,NA
0001727,C1112433
0001730,C1842138
0001732,C0030286
0001733,C0030305
0001734,C0149955
0001735,C0001339
0001737,C0030283
0001738,C0030293
0001739,C4025750
0001741,C0345326
0001742,C0027424
0001743,C4025749
0001744,C0038002
0001746,C0600031
0001747,C0266631
0001748,C1856659
0001750,C0152424
0001751,C1843865
0001756,C1848606
0001757,C4021775
0001760,C0016506
0001761,C0728829
0001762,C0009081
0001763,C0016202
0001765,C1136179
0001769,C1866241
0001770,C0265660
0001771,C0410264
0001772,C0265642
0001773,C1848673
0001775,C4025748
0001776,C1837835
0001780,C2674738
0001782,C4025747
0001783,C1842231
0001785,C0235439
0001786,C0576227
0001787,C0549629
0001788,C0015944
0001789,C0020305
0001790,C0455988
